Dataset,calinski_harabasz_score_BIRCH,calinski_harabasz_score_DBSTREAM,calinski_harabasz_score_STREAM_KMEANS,davies_bouldin_score_BIRCH,davies_bouldin_score_DBSTREAM,davies_bouldin_score_STREAM_KMEANS,iCH_BIRCH,iCH_DBSTREAM,iCH_STREAM_KMEANS,iDB_BIRCH,iDB_DBSTREAM,iDB_STREAM_KMEANS,iGD43_BIRCH,iGD43_DBSTREAM,iGD43_STREAM_KMEANS,iGD53_BIRCH,iGD53_DBSTREAM,iGD53_STREAM_KMEANS,iPS_BIRCH,iPS_DBSTREAM,iPS_STREAM_KMEANS,iWB_BIRCH,iWB_DBSTREAM,iWB_STREAM_KMEANS,iXB_BIRCH,iXB_DBSTREAM,iXB_STREAM_KMEANS,icSIL_BIRCH,icSIL_DBSTREAM,icSIL_STREAM_KMEANS,irCIP_BIRCH,irCIP_DBSTREAM,irCIP_STREAM_KMEANS,silhouette_score_BIRCH,silhouette_score_DBSTREAM,silhouette_score_STREAM_KMEANS
transformed_g2-4-10_moderate_knock-out.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-4-70_moderate_gaussian-noise.csv_predicted_cvis,-0.06,0.46,0.1,-0.77,-0.5,-0.76,-0.07,0.42,0.1,-0.61,-0.01,-0.54,0.39,-0.07,0.43,-0.74,-0.07,-0.59,-0.82,-0.2,-0.65,-0.59,0.0,-0.54,-0.59,0.01,-0.54,-0.38,-0.61,-0.3,-0.55,-0.04,-0.54,0.33,0.24,0.54
transformed_g2-2-90_moderate_knock-out.csv_predicted_cvis,0.15,--,--,-0.29,--,--,0.16,--,--,-0.42,--,--,0.45,--,--,-0.54,--,--,-0.7,--,--,-0.41,--,--,-0.42,--,--,-0.73,--,--,-0.75,--,--,-0.31,--,--
transformed_fashion-mnist_moderate_gaussian-noise.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_s4_moderate_knock-out.csv_predicted_cvis,-0.68,-0.13,--,0.64,0.47,--,0.49,0.95,--,0.48,0.53,--,-0.42,-0.2,--,-0.74,-0.81,--,0.79,-0.05,--,0.5,0.48,--,0.38,0.37,--,-0.12,0.7,--,0.4,0.2,--,-0.31,-0.64,--
transformed_g2-4-70_moderate_knock-out.csv_predicted_cvis,-0.15,-0.48,-0.34,-0.42,-0.75,-0.66,-0.2,-0.55,-0.43,-0.3,-0.69,-0.51,0.03,0.68,-0.03,-0.64,-0.61,-0.48,-0.67,-0.72,-0.47,-0.28,-0.65,-0.5,-0.27,-0.67,-0.51,-0.54,-0.11,-0.16,-0.12,-0.56,-0.56,0.01,0.46,0.75
transformed_u1_moderate_gaussian-noise.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_s1_moderate_knock-out.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-8-10_moderate_gaussian-noise.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-8-70_moderate_gaussian-noise.csv_predicted_cvis,-0.73,0.11,-0.88,-0.77,-0.23,-0.79,-0.73,0.05,-0.88,-0.81,-0.13,-0.83,-0.12,0.13,0.06,-0.74,-0.07,-0.64,-0.77,0.18,-0.65,-0.8,-0.18,-0.84,-0.81,-0.13,-0.84,-0.23,-0.14,-0.08,-0.82,-0.08,-0.9,0.27,0.12,0.28
transformed_wine_moderate_gaussian-noise.csv_predicted_cvis,--,0.0,--,--,0.21,--,--,0.34,--,--,0.34,--,--,-0.19,--,--,-0.53,--,--,-0.47,--,--,0.26,--,--,0.35,--,--,0.08,--,--,0.42,--,--,-0.52,--
transformed_g2-2-90_moderate_gaussian-noise.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_iris_moderate_gaussian-noise.csv_predicted_cvis,0.2,-0.21,-0.65,-0.1,-0.51,-0.28,0.01,-0.24,-0.49,-0.09,-0.4,-0.54,0.25,0.58,0.56,0.0,0.33,-0.36,-0.1,0.51,-0.49,-0.15,-0.53,-0.41,-0.1,-0.38,-0.47,-0.16,-0.12,-0.02,0.03,-0.46,0.17,0.41,0.08,-0.11
transformed_s3_moderate_knock-out.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
