Dataset,adjusted_mutual_info_score_BIRCH,adjusted_mutual_info_score_DBSTREAM,adjusted_mutual_info_score_STREAM_KMEANS,adjusted_rand_index_BIRCH,adjusted_rand_index_DBSTREAM,adjusted_rand_index_STREAM_KMEANS,calinski_harabasz_score_BIRCH,calinski_harabasz_score_DBSTREAM,calinski_harabasz_score_STREAM_KMEANS,completeness_score_BIRCH,completeness_score_DBSTREAM,completeness_score_STREAM_KMEANS,davies_bouldin_score_BIRCH,davies_bouldin_score_DBSTREAM,davies_bouldin_score_STREAM_KMEANS,fowlkes_mallows_index_BIRCH,fowlkes_mallows_index_DBSTREAM,fowlkes_mallows_index_STREAM_KMEANS,homogeneity_score_BIRCH,homogeneity_score_DBSTREAM,homogeneity_score_STREAM_KMEANS,iCH_BIRCH,iCH_DBSTREAM,iCH_STREAM_KMEANS,iDB_BIRCH,iDB_DBSTREAM,iDB_STREAM_KMEANS,iGD43_BIRCH,iGD43_DBSTREAM,iGD43_STREAM_KMEANS,iGD53_BIRCH,iGD53_DBSTREAM,iGD53_STREAM_KMEANS,iPS_BIRCH,iPS_DBSTREAM,iPS_STREAM_KMEANS,iWB_BIRCH,iWB_DBSTREAM,iWB_STREAM_KMEANS,iXB_BIRCH,iXB_DBSTREAM,iXB_STREAM_KMEANS,icSIL_BIRCH,icSIL_DBSTREAM,icSIL_STREAM_KMEANS,irCIP_BIRCH,irCIP_DBSTREAM,irCIP_STREAM_KMEANS,jaccard_index_BIRCH,jaccard_index_DBSTREAM,jaccard_index_STREAM_KMEANS,normalized_mutual_info_score_BIRCH,normalized_mutual_info_score_DBSTREAM,normalized_mutual_info_score_STREAM_KMEANS,silhouette_score_BIRCH,silhouette_score_DBSTREAM,silhouette_score_STREAM_KMEANS,v_measure_score_BIRCH,v_measure_score_DBSTREAM,v_measure_score_STREAM_KMEANS
transformed_fashion-mnist_mild_knock-out.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-2-10_mild_knock-out.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-8-50_severe_gaussian-noise.csv_predicted_cvis,0.9917163965010726,0.9999699374991686,0.9990038992458002,0.9999437973508055,0.999955030042095,0.9999729607272302,-0.5795565248906653,-0.6114186008034187,-0.4486538612844205,0.9915307309864361,0.9999436539805747,0.998910089243089,-0.6405519198995615,-0.7325029192756662,-0.5304664199316614,0.9998362656392124,0.9998653507417622,0.9999199507212266,0.9905232792551358,0.9999491139667042,0.9988176475057514,-0.6375157156359813,-0.7341559475141951,-0.5300156444475288,-0.6375157156359813,-0.7341559475141951,-0.5300156444475288,0.6265222909374452,0.7236591504567484,0.5187872677258102,-0.37725771391993745,-0.6773783982902783,-0.1940465610430481,-0.6396491955676648,-0.7363752794026269,-0.5308774617233313,-0.6375157156359813,-0.7341559475141951,-0.5300156444475288,-0.6375157156359813,-0.7341559475141951,-0.5300156444475288,0.4233495463060688,0.5272609801032304,0.3003623797620535,-0.6397262659799299,-0.7381613440541488,-0.5325243385975614,-0.8988616339284371,0.9990662825121926,-0.9890576334968695,0.9910425901822336,0.9999976804845446,0.9988615227840594,0.620068855463373,0.7140376162707618,0.508119592028225,0.9910425901822336,0.9999976804845446,0.9988615227840594
transformed_s1_moderate_knock-out.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_human-activity-recognition_mild_gaussian-noise.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-2-70_mild_gaussian-noise.csv_predicted_cvis,0.9174350337158591,0.9997392470906196,0.999326947920859,0.994837109252703,0.9998402610054169,0.9987916893062098,-0.5178346150298587,-0.9269543033035069,-0.883673894986948,0.8868155378747251,0.9997428156585225,0.99921198543569,-0.0416569507407413,0.14966836920637375,-0.07656931226142993,0.9899536364940935,0.9990982072651525,0.9898046375165239,0.9117076283893023,0.9997176272996753,0.9992945052329207,-0.5191459788003212,-0.9275500708765875,-0.8845481930414015,-0.4861151572696926,-0.594810052269736,-0.6782195566823956,-0.2535663447469149,-0.5951428402425272,-0.5869256742256476,-0.5391438334827745,-0.9133743868283347,-0.8841894351953122,-0.5191420976386774,-0.7927589598621075,-0.8758682484358449,-0.2882617939017922,-0.2360326307795047,-0.5851455080514347,-0.6646411952372637,-0.5557258031885141,-0.6291699901686285,-0.5177412587658881,-0.9278685064563755,-0.8861162250474193,-0.5225090704848951,-0.9272819077441609,-0.7736659706911447,-0.07758217317769175,0.9399647491818443,-0.7851122216803809,0.8993209728124025,0.9997451599732031,0.9993176618300602,0.1157349117688588,-0.2564744497925801,-0.14117575779619548,0.8993209728124025,0.9997451599732031,0.9993176618300602
transformed_s4_severe_knock-out.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-8-10_mild_gaussian-noise.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_seeds_mild_gaussian-noise.csv_predicted_cvis,0.890140893721546,0.6026547936419131,0.6316929308702629,0.8780517277797726,0.596197116348486,0.6467124256412379,0.8926536228147756,0.5186520570462682,0.23750403900628078,0.794815886858396,0.873427319826552,0.5761976195030805,-0.31697416266592404,-0.17454254815635753,0.17655190943306506,0.8776285257059252,0.5858602472997595,0.6798241866001774,0.8461813594799935,0.8561450932994706,0.7386041846544865,0.8888448545050383,0.513147151812527,0.14142695340782213,0.7500364094390527,0.513147151812527,-0.7492794163876487,-0.6953118147665063,-0.3943417691477979,-0.11085817569052923,0.8896118981229713,0.4656144123904166,-0.6447257199837015,0.8672882838631216,0.5064248156136317,-0.45916741156980495,0.4007935152600757,0.5023755343599664,-0.09477910456886825,0.6648945678484645,0.513147151812527,0.0046886253517858245,0.876122510359318,0.5121943797528411,0.12855310074698645,0.8571051185905598,0.5125913681110436,-0.001642343343563396,-0.8539083816325193,0.43169135928013175,--,0.8212392170071993,0.8767884879259997,0.651109667496585,0.8783971914331891,0.42393063477915605,0.4282012927210048,0.8212392170071993,0.8767884879259997,0.651109667496585
transformed_s2_moderate_knock-out.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
