n_clusters,threshold,branching_factor,purity
3,0.4661224489795919,50,0.9333333333333333
3,0.5269387755102041,25,0.8666666666666667
3,0.2836734693877551,50,0.9333333333333333
3,0.5877551020408164,50,0.9333333333333333
3,0.2836734693877551,100,0.9
3,1.1655102040816328,25,0.7666666666666667
3,1.0742857142857143,100,0.7666666666666667
3,1.013469387755102,25,0.9
3,1.013469387755102,25,0.9
3,0.34448979591836737,75,0.8666666666666667
3,0.2836734693877551,75,0.9
3,0.13163265306122449,50,0.9333333333333333
3,1.195918367346939,25,0.7333333333333333
3,0.8006122448979592,75,0.9333333333333333
3,0.4053061224489796,25,0.7
3,1.195918367346939,50,0.7333333333333333
3,0.25326530612244896,25,0.9333333333333333
3,0.7093877551020409,25,0.9333333333333333
3,0.4053061224489796,75,0.9333333333333333
3,0.25326530612244896,50,0.9333333333333333
3,0.5269387755102041,75,0.8666666666666667
3,1.2263265306122448,25,0.7666666666666667
3,0.10122448979591836,100,0.9333333333333333
3,1.2871428571428571,75,0.9333333333333333
3,0.19244897959183674,50,0.9
3,0.10122448979591836,25,0.9333333333333333
3,1.2263265306122448,25,0.7666666666666667
3,1.013469387755102,50,0.9
3,0.7702040816326531,25,0.8666666666666667
3,0.8310204081632653,75,0.9
3,0.01,50,0.9333333333333333
3,0.5573469387755102,50,0.9333333333333333
3,0.07081632653061225,25,0.9333333333333333
3,0.5877551020408164,100,0.9333333333333333
3,1.3175510204081633,100,0.7666666666666667
3,0.8006122448979592,100,0.9333333333333333
3,1.5,75,0.8666666666666667
3,0.13163265306122449,50,0.9333333333333333
3,0.7093877551020409,75,0.9
3,1.1046938775510204,50,0.7666666666666667
3,1.1351020408163266,50,0.9333333333333333
3,1.2263265306122448,100,0.7666666666666667
3,0.25326530612244896,25,0.9333333333333333
3,0.01,100,0.9333333333333333
3,1.256734693877551,100,0.7333333333333333
3,0.7093877551020409,100,0.9
3,0.4053061224489796,100,0.9333333333333333
3,1.5,75,0.8666666666666667
3,0.1620408163265306,100,0.9
3,1.3479591836734695,25,0.9333333333333333
